fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,free sulfur dioxide (norm),total sulfur dioxide,total sulfur dioxide (norm),pH,sulphates,alcohol,quality
9.80,0.98,0.32,2.30,0.08,35.00,2.13,152.00,2.67,3.25,0.48,9.40,5.00
7.30,0.59,0.26,7.20,0.07,35.00,2.13,121.00,1.99,3.37,0.49,9.40,5.00
8.90,0.48,0.24,2.85,0.09,35.00,2.13,106.00,1.65,3.10,0.53,9.20,5.00
7.30,0.69,0.32,2.20,0.07,35.00,2.13,104.00,1.61,3.33,0.51,9.50,5.00
8.50,0.28,0.56,1.80,0.09,35.00,2.13,103.00,1.59,3.30,0.75,10.50,7.00
10.30,0.59,0.42,2.80,0.09,35.00,2.13,73.00,0.92,3.28,0.70,9.50,6.00
7.20,0.41,0.30,2.10,0.08,35.00,2.13,72.00,0.90,3.44,0.52,9.40,5.00
7.20,0.41,0.30,2.10,0.08,35.00,2.13,72.00,0.90,3.44,0.52,9.40,5.00
7.10,0.36,0.30,1.60,0.08,35.00,2.13,70.00,0.86,3.44,0.50,9.40,5.00
7.30,0.32,0.23,2.30,0.07,35.00,2.13,70.00,0.86,3.43,0.62,10.10,5.00
9.50,0.56,0.33,2.40,0.09,35.00,2.13,67.00,0.79,3.28,0.73,11.80,7.00
11.60,0.32,0.55,2.80,0.08,35.00,2.13,67.00,0.79,3.32,0.92,10.80,7.00
6.90,0.77,0.02,2.30,0.06,35.00,2.13,63.00,0.70,3.57,0.78,9.90,5.00
8.10,0.29,0.36,2.20,0.05,35.00,2.13,53.00,0.48,3.27,1.01,12.40,7.00
8.50,0.66,0.49,6.10,0.12,34.00,2.02,151.00,2.65,3.31,1.14,9.30,5.00
9.30,0.39,0.44,2.10,0.11,34.00,2.02,125.00,2.07,3.14,1.22,9.50,5.00
7.00,0.58,0.12,1.90,0.09,34.00,2.02,124.00,2.05,3.44,0.48,10.50,5.00
7.20,0.66,0.33,2.50,0.07,34.00,2.02,102.00,1.57,3.27,0.78,12.80,6.00
7.70,0.75,0.27,3.80,0.11,34.00,2.02,89.00,1.28,3.24,0.45,9.30,5.00
8.00,0.81,0.25,3.40,0.08,34.00,2.02,85.00,1.19,3.19,0.42,9.20,5.00
10.60,0.50,0.45,2.60,0.12,34.00,2.02,68.00,0.81,3.23,0.72,10.90,6.00
9.80,0.45,0.38,2.50,0.08,34.00,2.02,66.00,0.77,3.15,0.58,9.80,5.00
6.40,0.42,0.09,2.30,0.05,34.00,2.02,64.00,0.73,3.41,0.68,10.40,6.00
7.40,0.52,0.13,2.40,0.08,34.00,2.02,61.00,0.66,3.43,0.59,10.80,6.00
7.20,0.39,0.32,1.80,0.07,34.00,2.02,60.00,0.64,3.46,0.78,9.90,5.00
7.50,0.31,0.41,2.40,0.07,34.00,2.02,60.00,0.64,3.34,0.85,11.40,6.00
6.80,0.59,0.10,1.70,0.06,34.00,2.02,53.00,0.48,3.41,0.67,9.70,5.00
6.80,0.59,0.10,1.70,0.06,34.00,2.02,53.00,0.48,3.41,0.67,9.70,5.00
6.80,0.77,0.00,1.80,0.07,34.00,2.02,52.00,0.46,3.62,0.68,9.90,5.00
10.40,0.44,0.42,1.50,0.15,34.00,2.02,48.00,0.37,3.38,0.86,9.90,3.00
7.80,0.57,0.09,2.30,0.07,34.00,2.02,45.00,0.31,3.46,0.74,12.70,8.00
7.50,0.58,0.20,2.00,0.07,34.00,2.02,44.00,0.28,3.10,0.43,9.30,5.00
7.90,0.69,0.21,2.10,0.08,33.00,1.92,141.00,2.43,3.25,0.51,9.90,5.00
7.90,0.69,0.21,2.10,0.08,33.00,1.92,141.00,2.43,3.25,0.51,9.90,5.00
11.60,0.42,0.53,3.30,0.11,33.00,1.92,98.00,1.48,3.20,0.95,9.20,5.00
8.10,0.53,0.22,2.20,0.08,33.00,1.92,89.00,1.28,3.26,0.46,9.60,6.00
8.80,0.42,0.21,2.50,0.09,33.00,1.92,88.00,1.26,3.19,0.52,9.20,5.00
7.00,0.38,0.49,2.50,0.10,33.00,1.92,85.00,1.19,3.39,0.77,11.40,6.00
7.30,0.40,0.30,1.70,0.08,33.00,1.92,79.00,1.06,3.41,0.65,9.50,6.00
9.90,0.74,0.19,5.80,0.11,33.00,1.92,76.00,0.99,3.14,0.55,9.40,5.00
7.20,0.35,0.26,1.80,0.08,33.00,1.92,75.00,0.97,3.40,0.58,9.50,6.00
7.60,0.51,0.15,2.80,0.11,33.00,1.92,73.00,0.92,3.17,0.63,10.20,6.00
7.60,0.78,0.00,1.70,0.08,33.00,1.92,45.00,0.31,3.31,0.62,10.70,6.00
9.80,1.24,0.34,2.00,0.08,32.00,1.81,151.00,2.65,3.15,0.53,9.50,5.00
8.10,0.67,0.55,1.80,0.12,32.00,1.81,141.00,2.43,3.17,0.62,9.40,5.00
7.70,0.64,0.21,2.20,0.08,32.00,1.81,133.00,2.25,3.27,0.45,9.90,5.00
6.20,0.46,0.29,2.10,0.07,32.00,1.81,98.00,1.48,3.33,0.62,9.80,5.00
5.00,1.04,0.24,1.60,0.05,32.00,1.81,96.00,1.43,3.74,0.62,11.50,5.00
8.00,0.39,0.30,1.90,0.07,32.00,1.81,84.00,1.17,3.39,0.61,9.00,5.00
8.40,0.36,0.32,2.20,0.08,32.00,1.81,79.00,1.06,3.30,0.72,11.00,6.00
8.40,0.36,0.32,2.20,0.08,32.00,1.81,79.00,1.06,3.30,0.72,11.00,6.00
9.00,0.60,0.29,2.00,0.07,32.00,1.81,73.00,0.92,3.34,0.57,10.00,5.00
9.90,0.59,0.07,3.40,0.10,32.00,1.81,71.00,0.88,3.31,0.71,9.80,5.00
9.90,0.59,0.07,3.40,0.10,32.00,1.81,71.00,0.88,3.31,0.71,9.80,5.00
9.20,0.52,1.00,3.40,0.61,32.00,1.81,69.00,0.84,2.74,2.00,9.40,4.00
6.80,0.57,0.00,2.50,0.07,32.00,1.81,64.00,0.73,3.43,0.56,11.20,6.00
8.70,0.42,0.45,2.40,0.07,32.00,1.81,59.00,0.62,3.33,0.77,12.00,6.00
8.50,0.46,0.31,2.25,0.08,32.00,1.81,58.00,0.59,3.33,0.54,9.80,5.00
8.20,0.42,0.49,2.60,0.08,32.00,1.81,55.00,0.53,3.34,0.75,8.70,6.00
6.30,0.68,0.01,3.70,0.10,32.00,1.81,54.00,0.51,3.51,0.66,11.30,6.00
6.60,0.84,0.03,2.30,0.06,32.00,1.81,48.00,0.37,3.52,0.56,12.30,7.00
6.60,0.84,0.03,2.30,0.06,32.00,1.81,48.00,0.37,3.52,0.56,12.30,7.00
6.20,0.60,0.08,2.00,0.09,32.00,1.81,44.00,0.28,3.45,0.58,10.50,5.00
5.90,0.65,0.12,2.00,0.08,32.00,1.81,44.00,0.28,3.57,0.71,10.20,5.00
6.90,0.44,0.00,1.40,0.07,32.00,1.81,38.00,0.15,3.32,0.58,11.40,6.00
9.50,0.89,0.27,2.30,0.08,31.00,1.70,145.00,2.52,3.24,0.53,9.40,5.00
8.60,0.73,0.24,6.60,0.12,31.00,1.70,134.00,2.27,3.32,1.07,9.30,5.00
7.80,0.60,0.26,2.00,0.08,31.00,1.70,131.00,2.21,3.21,0.52,9.90,5.00
7.80,0.60,0.26,2.00,0.08,31.00,1.70,131.00,2.21,3.21,0.52,9.90,5.00
7.80,0.60,0.26,2.00,0.08,31.00,1.70,131.00,2.21,3.21,0.52,9.90,5.00
8.40,0.59,0.29,2.60,0.11,31.00,1.70,119.00,1.94,3.15,0.50,9.10,5.00
7.30,0.67,0.02,2.20,0.07,31.00,1.70,92.00,1.34,3.32,0.68,11.07,6.00
7.30,0.67,0.02,2.20,0.07,31.00,1.70,92.00,1.34,3.32,0.68,11.10,6.00
12.50,0.38,0.60,2.60,0.08,31.00,1.70,72.00,0.90,3.10,0.73,10.50,5.00
7.20,0.38,0.30,1.80,0.07,31.00,1.70,70.00,0.86,3.42,0.59,9.50,6.00
7.20,0.38,0.30,1.80,0.07,31.00,1.70,70.00,0.86,3.42,0.59,9.50,6.00
7.10,0.34,0.28,2.00,0.08,31.00,1.70,68.00,0.81,3.45,0.48,9.40,5.00
7.10,0.34,0.28,2.00,0.08,31.00,1.70,68.00,0.81,3.45,0.48,9.40,5.00
7.80,0.87,0.26,3.80,0.11,31.00,1.70,67.00,0.79,3.26,0.46,9.20,5.00
7.30,0.48,0.32,2.10,0.06,31.00,1.70,54.00,0.51,3.30,0.65,10.00,7.00
7.30,0.48,0.32,2.10,0.06,31.00,1.70,54.00,0.51,3.30,0.65,10.00,7.00
8.20,0.20,0.43,2.50,0.08,31.00,1.70,51.00,0.44,3.53,0.81,10.40,6.00
9.90,0.35,0.38,1.50,0.06,31.00,1.70,47.00,0.35,3.26,0.82,10.60,7.00
7.70,0.72,0.01,2.10,0.06,31.00,1.70,43.00,0.26,3.41,0.57,11.80,6.00
7.70,0.72,0.01,2.10,0.06,31.00,1.70,43.00,0.26,3.41,0.57,11.80,6.00
9.60,0.88,0.28,2.40,0.09,30.00,1.59,147.00,2.56,3.24,0.53,9.40,5.00
8.60,0.47,0.30,3.00,0.08,30.00,1.59,135.00,2.29,3.30,0.53,9.40,5.00
8.00,0.75,0.56,2.00,0.12,30.00,1.59,134.00,2.27,3.24,0.66,9.40,5.00
8.60,0.38,0.36,3.00,0.08,30.00,1.59,119.00,1.94,3.20,0.56,9.40,5.00
8.90,0.60,0.41,7.90,0.09,30.00,1.59,109.00,1.72,3.27,0.57,9.30,5.00
7.50,0.77,0.20,8.10,0.10,30.00,1.59,92.00,1.34,3.20,0.58,9.20,5.00
7.50,0.77,0.20,8.10,0.10,30.00,1.59,92.00,1.34,3.20,0.58,9.20,5.00
9.60,0.77,0.12,2.90,0.08,30.00,1.59,74.00,0.95,3.30,0.64,10.40,6.00
9.60,0.77,0.12,2.90,0.08,30.00,1.59,74.00,0.95,3.30,0.64,10.40,6.00
8.80,0.61,0.19,4.00,0.09,30.00,1.59,69.00,0.84,3.22,0.50,10.00,6.00
8.80,0.61,0.19,4.00,0.09,30.00,1.59,69.00,0.84,3.22,0.50,10.00,6.00
7.20,0.34,0.24,2.00,0.07,30.00,1.59,52.00,0.46,3.44,0.58,10.10,5.00
9.90,0.53,0.57,2.40,0.09,30.00,1.59,52.00,0.46,3.19,0.76,11.60,7.00
6.50,0.40,0.10,2.00,0.08,30.00,1.59,47.00,0.35,3.36,0.48,9.40,6.00
6.90,0.40,0.24,2.50,0.08,30.00,1.59,45.00,0.31,3.26,0.58,10.00,5.00
7.60,0.72,0.00,2.10,0.07,30.00,1.59,35.00,0.09,3.48,0.65,11.40,6.00
7.10,0.43,0.42,5.50,0.07,29.00,1.49,129.00,2.16,3.42,0.72,10.50,5.00
7.10,0.43,0.42,5.50,0.07,29.00,1.49,129.00,2.16,3.42,0.72,10.50,5.00
7.50,0.41,0.15,3.70,0.10,29.00,1.49,94.00,1.39,3.14,0.58,9.10,5.00
5.00,0.40,0.50,4.30,0.05,29.00,1.49,80.00,1.08,3.49,0.66,13.60,6.00
6.60,0.73,0.20,7.80,0.07,29.00,1.49,79.00,1.06,3.29,0.54,9.20,5.00
7.60,0.40,0.29,1.90,0.08,29.00,1.49,66.00,0.77,3.45,0.59,9.50,6.00
9.20,0.63,0.21,2.70,0.10,29.00,1.49,65.00,0.75,3.28,0.58,9.60,5.00
7.70,0.43,0.25,2.60,0.07,29.00,1.49,63.00,0.70,3.37,0.58,10.50,6.00
7.70,0.43,0.25,2.60,0.07,29.00,1.49,63.00,0.70,3.37,0.58,10.50,6.00
6.80,0.48,0.25,2.00,0.08,29.00,1.49,61.00,0.66,3.34,0.60,10.40,5.00
8.90,0.22,0.48,1.80,0.08,29.00,1.49,60.00,0.64,3.39,0.53,9.40,6.00
7.80,0.43,0.32,2.80,0.08,29.00,1.49,58.00,0.59,3.31,0.64,10.30,5.00
10.70,0.52,0.38,2.60,0.07,29.00,1.49,56.00,0.55,3.15,0.79,12.10,7.00
11.50,0.41,0.52,3.00,0.08,29.00,1.49,55.00,0.53,3.26,0.88,11.00,5.00
7.50,0.40,0.12,3.00,0.09,29.00,1.49,53.00,0.48,3.37,0.70,10.30,6.00
10.40,0.64,0.24,2.80,0.11,29.00,1.49,53.00,0.48,3.24,0.67,9.90,5.00
8.20,0.33,0.39,2.50,0.07,29.00,1.49,48.00,0.37,3.32,0.88,12.40,7.00
9.00,0.40,0.43,2.40,0.07,29.00,1.49,46.00,0.33,3.20,0.60,12.20,6.00
6.50,0.53,0.06,2.00,0.06,29.00,1.49,44.00,0.28,3.38,0.83,10.30,6.00
6.50,0.53,0.06,2.00,0.06,29.00,1.49,44.00,0.28,3.38,0.83,10.30,6.00
6.30,0.51,0.13,2.30,0.08,29.00,1.49,40.00,0.20,3.42,0.75,11.00,6.00
6.30,0.51,0.13,2.30,0.08,29.00,1.49,40.00,0.20,3.42,0.75,11.00,6.00
6.70,0.86,0.02,1.90,0.06,29.00,1.49,38.00,0.15,3.30,0.56,10.75,6.00
9.20,0.53,0.24,2.60,0.08,28.00,1.38,139.00,2.38,3.21,0.57,9.50,5.00
7.10,0.43,0.42,5.50,0.07,28.00,1.38,128.00,2.14,3.42,0.71,10.50,5.00
7.10,0.43,0.42,5.50,0.07,28.00,1.38,128.00,2.14,3.42,0.71,10.50,5.00
7.70,0.58,0.10,1.80,0.10,28.00,1.38,109.00,1.72,3.08,0.49,9.80,6.00
9.00,0.46,0.23,2.80,0.09,28.00,1.38,104.00,1.61,3.10,0.56,9.20,5.00
12.40,0.49,0.58,3.00,0.10,28.00,1.38,99.00,1.50,3.16,1.00,11.50,6.00
6.50,0.39,0.23,8.30,0.05,28.00,1.38,91.00,1.32,3.44,0.55,12.10,6.00
7.60,0.42,0.25,3.90,0.10,28.00,1.38,90.00,1.30,3.15,0.57,9.10,5.00
10.00,0.43,0.33,2.70,0.10,28.00,1.38,89.00,1.28,3.22,0.68,10.00,5.00
5.50,0.49,0.03,1.80,0.04,28.00,1.38,87.00,1.23,3.50,0.82,14.00,8.00
9.70,0.32,0.54,2.50,0.09,28.00,1.38,83.00,1.15,3.28,0.82,9.60,5.00
9.60,0.60,0.50,2.30,0.08,28.00,1.38,71.00,0.88,3.50,0.57,9.70,5.00
9.60,0.60,0.50,2.30,0.08,28.00,1.38,71.00,0.88,3.50,0.57,9.70,5.00
8.00,0.28,0.44,1.80,0.08,28.00,1.38,68.00,0.81,3.36,0.66,11.20,5.00
8.20,0.57,0.26,2.20,0.06,28.00,1.38,65.00,0.75,3.30,0.43,10.10,5.00
9.80,0.37,0.39,2.50,0.08,28.00,1.38,65.00,0.75,3.16,0.59,9.80,5.00
7.10,0.46,0.20,1.90,0.08,28.00,1.38,54.00,0.51,3.37,0.64,10.40,6.00
7.10,0.46,0.20,1.90,0.08,28.00,1.38,54.00,0.51,3.37,0.64,10.40,6.00
6.40,0.80,0.00,2.20,0.07,28.00,1.38,52.00,0.46,3.49,0.52,11.60,5.00
8.00,0.62,0.35,2.80,0.09,28.00,1.38,52.00,0.46,3.31,0.62,10.80,5.00
7.30,0.35,0.24,2.00,0.07,28.00,1.38,48.00,0.37,3.43,0.54,10.00,4.00
12.30,0.27,0.49,3.10,0.08,28.00,1.38,46.00,0.33,3.20,0.80,10.20,6.00
6.80,0.62,0.08,1.90,0.07,28.00,1.38,38.00,0.15,3.42,0.82,9.50,6.00
8.30,0.63,0.20,1.50,0.08,27.00,1.27,119.00,1.94,3.16,1.12,9.10,4.00
7.50,0.65,0.18,7.00,0.09,27.00,1.27,94.00,1.39,3.38,0.77,9.40,5.00
9.00,0.62,0.04,1.90,0.15,27.00,1.27,90.00,1.30,3.16,0.70,9.40,5.00
10.00,0.38,0.38,1.60,0.17,27.00,1.27,90.00,1.30,3.15,0.65,8.50,5.00
7.60,0.49,0.33,1.90,0.07,27.00,1.27,85.00,1.19,3.41,0.58,9.00,5.00
7.60,0.49,0.33,1.90,0.07,27.00,1.27,85.00,1.19,3.41,0.58,9.00,5.00
8.90,0.59,0.50,2.00,0.34,27.00,1.27,81.00,1.10,3.04,1.61,9.50,6.00
6.40,0.57,0.14,3.90,0.07,27.00,1.27,73.00,0.92,3.32,0.48,9.20,5.00
12.40,0.35,0.49,2.60,0.08,27.00,1.27,69.00,0.84,3.12,0.75,10.40,6.00
7.30,0.43,0.24,2.50,0.08,27.00,1.27,67.00,0.79,3.60,0.59,11.10,6.00
10.80,0.47,0.43,2.10,0.17,27.00,1.27,66.00,0.77,3.17,0.76,10.80,6.00
9.30,0.32,0.57,2.00,0.07,27.00,1.27,65.00,0.75,3.28,0.79,10.70,5.00
5.20,0.34,0.00,1.80,0.05,27.00,1.27,63.00,0.70,3.68,0.79,14.00,6.00
5.20,0.34,0.00,1.80,0.05,27.00,1.27,63.00,0.70,3.68,0.79,14.00,6.00
7.00,0.62,0.10,1.40,0.07,27.00,1.27,63.00,0.70,3.28,0.61,9.20,5.00
7.90,0.55,0.06,4.00,0.09,27.00,1.27,61.00,0.66,3.36,0.67,10.70,6.00
7.90,0.55,0.06,4.00,0.09,27.00,1.27,61.00,0.66,3.36,0.67,10.70,6.00
7.50,0.58,0.14,2.20,0.08,27.00,1.27,60.00,0.64,3.28,0.59,9.80,5.00
6.40,0.87,0.03,3.20,0.07,27.00,1.27,58.00,0.59,3.61,0.49,12.70,6.00
7.60,0.67,0.10,1.50,0.07,27.00,1.27,55.00,0.53,3.39,0.51,9.30,5.00
7.80,0.64,0.00,1.90,0.07,27.00,1.27,55.00,0.53,3.31,0.63,11.00,5.00
7.10,0.43,0.17,1.80,0.08,27.00,1.27,51.00,0.44,3.49,0.64,10.40,5.00
7.10,0.43,0.17,1.80,0.08,27.00,1.27,51.00,0.44,3.49,0.64,10.40,5.00
7.50,0.58,0.03,4.10,0.08,27.00,1.27,46.00,0.33,3.02,0.47,9.20,5.00
8.20,0.43,0.29,1.60,0.08,27.00,1.27,45.00,0.31,3.25,0.54,10.30,5.00
7.60,0.63,0.03,2.00,0.08,27.00,1.27,43.00,0.26,3.44,0.64,10.90,6.00
7.10,0.59,0.01,2.30,0.08,27.00,1.27,43.00,0.26,3.42,0.58,10.70,6.00
7.10,0.59,0.01,2.30,0.08,27.00,1.27,43.00,0.26,3.42,0.58,10.70,6.00
6.30,0.47,0.00,1.40,0.06,27.00,1.27,33.00,0.04,3.45,0.48,12.30,6.00
8.00,0.42,0.32,2.50,0.08,26.00,1.16,122.00,2.01,3.22,1.07,9.70,5.00
7.00,0.49,0.49,5.60,0.06,26.00,1.16,121.00,1.99,3.34,0.76,10.50,5.00
9.00,0.44,0.49,2.40,0.08,26.00,1.16,121.00,1.99,3.23,0.58,9.20,5.00
7.80,0.57,0.31,1.80,0.07,26.00,1.16,120.00,1.96,3.29,0.53,9.30,5.00
7.20,0.61,0.08,4.00,0.08,26.00,1.16,108.00,1.70,3.25,0.51,9.40,5.00
9.00,0.82,0.05,2.40,0.08,26.00,1.16,96.00,1.43,3.36,0.53,10.00,5.00
10.60,1.02,0.43,2.90,0.08,26.00,1.16,88.00,1.26,3.08,0.57,10.10,6.00
9.00,0.43,0.34,2.50,0.08,26.00,1.16,86.00,1.21,3.38,0.62,9.50,6.00
8.90,0.31,0.57,2.00,0.11,26.00,1.16,85.00,1.19,3.26,0.53,9.70,5.00
7.40,0.36,0.29,2.60,0.09,26.00,1.16,72.00,0.90,3.39,0.68,11.00,5.00
10.60,0.83,0.37,2.60,0.09,26.00,1.16,70.00,0.86,3.16,0.52,9.90,5.00
7.60,0.36,0.31,1.70,0.08,26.00,1.16,65.00,0.75,3.46,0.62,9.50,6.00
7.60,0.36,0.31,1.70,0.08,26.00,1.16,65.00,0.75,3.46,0.62,9.50,6.00
10.00,0.59,0.31,2.20,0.09,26.00,1.16,62.00,0.68,3.18,0.63,10.20,6.00
10.00,0.59,0.31,2.20,0.09,26.00,1.16,62.00,0.68,3.18,0.63,10.20,6.00
8.10,0.87,0.00,3.30,0.10,26.00,1.16,61.00,0.66,3.60,0.72,9.80,4.00
5.00,0.38,0.01,1.60,0.05,26.00,1.16,60.00,0.64,3.70,0.75,14.00,6.00
9.60,0.50,0.36,2.80,0.12,26.00,1.16,55.00,0.53,3.18,0.68,10.90,5.00
8.80,0.48,0.41,3.30,0.09,26.00,1.16,52.00,0.46,3.31,0.53,10.50,6.00
6.30,0.76,0.00,2.90,0.07,26.00,1.16,52.00,0.46,3.51,0.60,11.50,6.00
8.50,0.37,0.32,1.80,0.07,26.00,1.16,51.00,0.44,3.38,0.72,11.80,6.00
12.50,0.46,0.49,4.50,0.07,26.00,1.16,49.00,0.39,3.05,0.57,9.60,4.00
6.40,0.36,0.21,2.20,0.05,26.00,1.16,48.00,0.37,3.47,0.77,9.70,6.00
9.10,0.28,0.48,1.80,0.07,26.00,1.16,46.00,0.33,3.32,1.04,10.60,6.00
6.10,0.64,0.02,2.40,0.07,26.00,1.16,46.00,0.33,3.47,0.45,11.00,5.00
6.80,0.41,0.31,8.80,0.08,26.00,1.16,45.00,0.31,3.38,0.64,10.10,6.00
6.80,0.41,0.31,8.80,0.08,26.00,1.16,45.00,0.31,3.38,0.64,10.10,6.00
7.10,0.59,0.00,2.20,0.08,26.00,1.16,44.00,0.28,3.42,0.68,10.80,6.00
9.90,0.25,0.46,1.70,0.06,26.00,1.16,42.00,0.24,3.18,0.83,10.60,6.00
6.70,0.67,0.02,1.90,0.06,26.00,1.16,42.00,0.24,3.39,0.82,10.90,6.00
7.60,0.31,0.34,2.50,0.08,26.00,1.16,35.00,0.09,3.22,0.59,12.50,7.00
6.30,0.55,0.15,1.80,0.08,26.00,1.16,35.00,0.09,3.32,0.82,11.60,6.00
8.80,0.64,0.17,2.90,0.08,25.00,1.05,130.00,2.18,3.23,0.54,9.60,5.00
8.10,0.66,0.70,2.20,0.10,25.00,1.05,129.00,2.16,3.08,0.53,9.00,5.00
8.00,0.60,0.22,2.10,0.08,25.00,1.05,105.00,1.63,3.30,0.49,9.90,5.00
8.00,0.60,0.22,2.10,0.08,25.00,1.05,105.00,1.63,3.30,0.49,9.90,5.00
11.60,0.41,0.58,2.80,0.10,25.00,1.05,101.00,1.54,3.13,0.53,10.00,5.00
7.50,0.60,0.03,1.80,0.10,25.00,1.05,99.00,1.50,3.35,0.54,10.10,5.00
7.50,0.60,0.03,1.80,0.10,25.00,1.05,99.00,1.50,3.35,0.54,10.10,5.00
9.30,0.61,0.26,3.40,0.09,25.00,1.05,87.00,1.23,3.24,0.62,9.70,5.00
